Card Type,Card ID,Text
Black,B049,India's newest national obsession: ______.
Black,B050,A famous comedian is asked to host Parliament. Their opening segment is ______.
Black,B051,A newsroom intern accidentally publishes ______.
Black,B052,A comedian becomes the accidental chief election strategist after ______.
Black,B053,A journalist launches a dating app for people who love ______.
Black,B054,The new cricket format has one rule: ______.
Black,B055,The new national sport is ______.
Black,B056,The startup pitch that somehow receives ₹500 crore: ______.
Black,B057,The emergency meeting about the emergency meeting is about ______.
Black,B058,The new national award category is Best ______.
Black,B059,The secret reason Indian trains are always ______.
Black,B060,"A new OTT series has everything: romance, betrayal, and ______."
Black,B061,The wedding planner quit after discovering ______.
Black,B062,The new national mascot is ______.
Black,B063,The family group admin finally snapped and posted ______.
Black,B064,The celebrity's secret emergency protocol: ______.
Black,B065,The final boss of the family WhatsApp group is ______.
Black,B066,The final boss of Indian bureaucracy is ______.
Black,B067,The next big streaming hit is “______: The Series.”
Black,B068,A new Indian superhero's only weakness is ______.
Black,B069,The Supreme Court hearing took an unexpected turn when someone introduced ______.
Black,B070,A five-hour prime-time debate was ultimately about ______.
Black,B071,"The producer yells, “Five seconds to air!” and someone brings ______."
Black,B072,A newsroom dispute is settled by ______.
Black,B073,The ultimate Indian wedding entrance: ______.
Black,B074,The ultimate Indian apology: ______.
Black,B075,The family astrologer predicts that I will become ______.
Black,B076,The final answer on a competitive exam is ______.
Black,B077,The Bollywood censor board's latest forbidden phrase: ______.
Black,B078,The studio's emergency snack is ______.
Black,B079,A political rally sponsored by ______.
Black,B080,A political rally accidentally becomes ______.
Black,B081,A cricket stadium is evacuated after someone shouts ______.
Black,B082,The final scene of every Indian action movie should contain ______.
Black,B083,A celebrity launches a new lifestyle brand called ______.
Black,B084,The only story that can interrupt an IPL match: ______.
Black,B085,"A politician, journalist, comedian, actor and cricketer are forced to share one group chat. The first message is ______."
Black,B086,The most cursed collaboration in Indian entertainment: ______.
Black,B087,The real purpose of a family WhatsApp group is ______.
Black,B088,A WhatsApp University dissertation proves that ______.
Black,B089,A prime-time debate judge awards one point for ______.
Black,B090,The only story that can interrupt a politician: ______.
Black,B091,A government app now requires citizens to upload ______.
Black,B092,A stand-up comedian attempts to explain ______ to Parliament.
Black,B093,The internet's collective attention span is defeated by ______.
Black,B094,The new government portal crashes because everyone is trying to upload ______.
Black,B095,The real purpose of a government form is ______.
Black,B096,The only story that can interrupt an auntie: ______.
Black,B097,The studio producer's worst nightmare: ______.
Black,B098,A political strategist's 3 a.m. idea is ______.
Black,B099,The new startup unicorn's entire business model is ______.
Black,B100,The real purpose of a podcast microphone is ______.
Black,B101,The most dangerous words in an Indian newsroom: “We have ______.”
Black,B102,The one thing every Indian parent fears more than bad grades: ______.
Black,B103,A journalist asks one simple question. The answer: ______.
Black,B104,A celebrity's autobiography is titled “______: My Journey.”
Black,B105,The IPL auction went completely insane when someone bid for ______.
Black,B106,The ultimate Indian headline: ______.
Black,B107,My family finally stopped comparing me to my cousin after ______.
Black,B108,The most absurd election promise yet: ______.
Black,B109,The only story that can interrupt a cricketer: ______.
Black,B110,The politician's campaign vehicle is powered by ______.
Black,B111,The new reality show is called “India's Got ______.”
Black,B112,The one thing missing from every Indian TV debate is ______.
Black,B113,A comedy club dispute is settled by ______.
Black,B114,The panel was asked one simple question: ______.
Black,B115,India's newest stand-up special: ______.
Black,B116,The real purpose of an Indian wedding is ______.
Black,B117,The coalition's common minimum programme is simply ______.
Black,B118,The country celebrates ______ with a three-day public holiday.
Black,B119,"At the wedding, the DJ suddenly played ______ and everyone responded with ______."
Black,B120,The greatest Indian invention after zero: ______.
Black,B121,The most ridiculous national award category: Best ______.
Black,B122,The real purpose of an influencer apology is ______.
Black,B123,The real purpose of prime-time television is ______.
Black,B124,A breaking-news graphic is created for ______.
Black,B125,A comedian walks onto the stage and says: “Tonight we're talking about ______.”
Black,B126,A wedding photographer discovers ______ in the deleted folder.
Black,B127,The most cursed panel discussion imaginable: ______.
Black,B128,India's newest family tradition: ______.
Black,B129,A celebrity enters a government office and is handed ______.
Black,B130,A prime-time debate about ______ somehow lasts until sunrise.
Black,B131,The only story that can interrupt a wedding: ______.
Black,B132,The country wakes up to a new rule: everyone must carry ______.
Black,B133,The headline of the century: “______.”
Black,B134,The one sentence guaranteed to start a family war: “______.”
Black,B135,India's newest reality show: ______.
Black,B136,The politician's secret emergency protocol: ______.
Black,B137,A five-minute news segment becomes a four-hour investigation into ______.
Black,B138,The new political manifesto promises every citizen ______.
Black,B139,The comedian's secret emergency protocol: ______.
Black,B140,The ultimate Indian flex: ______.
Black,B141,The official government response to ______ is simply ______.
Black,B142,A Bollywood wedding song about ______ would be a disaster.
Black,B143,A journalist's autobiography is titled “______: Behind the Headlines.”
Black,B144,The most embarrassing thing to trend on Indian Twitter is ______.
Black,B145,India's newest government department: ______.
Black,B146,A politician's autobiography is titled “______: The People Decide.”
Black,B147,The most ambitious jugaad ever attempted is ______.
Black,B148,"The politician says, “The people have spoken,” immediately followed by ______."
Black,B149,A national debate is settled by ______.
Black,B150,A Bollywood star becomes CEO of ______.
Black,B151,A comedian starts a fintech company called ______.
Black,B152,A comedian asks the audience for a topic and gets ______.
Black,B153,"The comedian says, “You won't believe what happened with ______.”"
Black,B154,The ultimate Indian exit poll: ______.
Black,B155,A Parliament debate is interrupted by ______.
Black,B156,The only thing capable of silencing an entire TV panel: ______.
Black,B157,The only thing louder than a prime-time debate is ______.
Black,B158,The IPL halftime show is replaced by ______.
Black,B159,The debate moderator loses control when the panel starts discussing ______.
Black,B160,The family group chat exploded after someone posted ______.
Black,B161,A viral clip starts with ______ and ends with nobody knowing what happened.
Black,B162,The comedian's crowd-work strategy is simply ______.
Black,B163,A historical emperor discovers television and immediately orders ______.
Black,B164,The ultimate Indian jugaad: ______.
Black,B165,The most ridiculous reason for an election rally cancellation: ______.
Black,B166,The newsroom's secret emergency protocol: ______.
Black,B167,A historical monument is built to honour ______.
Black,B168,The one thing that can unite every Indian is ______.
Black,B169,An IPL dispute is settled by ______.
Black,B170,A politician opens a restaurant called ______.
Black,B171,The ultimate Indian group-chat message: ______.
Black,B172,A political alliance survives entirely because of ______.
Black,B173,The Indian remake of a courtroom drama is about ______.
Black,B174,The only acceptable excuse for missing a wedding is ______.
Black,B175,The most controversial item on the Parliament cafeteria menu is ______.
Black,B176,The newsroom chyron reads: “EXCLUSIVE: ______.”
Black,B177,"A politician, an actor, a comedian, and a cricketer walk into a lift. Inside is ______."
Black,B178,The one thing even an algorithm cannot classify: ______.
Black,B179,India's newest startup category: ______.
Black,B180,The real purpose of a political manifesto is ______.
Black,B181,The ultimate Indian power move: ______.
Black,B182,A celebrity's rider contains exactly one demand: ______.
Black,B183,A new law accidentally bans ______.
Black,B184,India's newest newsroom segment: ______.
Black,B185,A government committee is formed to investigate ______.
Black,B186,A podcast episode nobody survives: ______.
Black,B187,"The new election slogan is: “More ______, less ______.”"
Black,B188,A historical hero starts a YouTube channel about ______.
Black,B189,A panel discussion where everyone has a microphone except ______.
Black,B190,The prime-time debate's final round is decided by ______.
Black,B191,The final chapter of Indian history will be titled ______.
Black,B192,Tonight on prime time: “Is ______ secretly caused by ______?”
Black,B193,The ultimate Indian plot twist: ______.
Black,B194,The committee's 900-page report concludes ______.
Black,B195,The election manifesto's mysterious final page contains ______.
Black,B196,The Indian internet has finally agreed on one thing: ______.
Black,B197,The government budget mysteriously contains a line item for ______.
Black,B198,The country's strangest conspiracy theory claims ______.
Black,B199,"A panel consisting of Nirmala Sitharaman, Salman Khan, and a pressure cooker debates ______."
Black,B200,"The news anchor says, “We have exclusive access to ______.”"
White,W001,Anjana Om Kashyap conducting a prime-time debate with a pressure cooker.
White,W002,Arnab Goswami attempting to cross-examine a samosa.
White,W003,Ravish Kumar explaining a family WhatsApp forward with seventeen charts.
White,W004,Rajdeep Sardesai accidentally becoming the referee of an IPL match.
White,W005,Barkha Dutt reporting live from a wedding buffet queue.
White,W006,Palki Sharma presenting a breaking-news segment about a missing slipper.
White,W007,Sudhir Chaudhary discovering a conspiracy hidden inside a PowerPoint transition.
White,W008,Faye D'Souza fact-checking an auntie's astrology prediction.
White,W009,Kapil Sharma hosting a parliamentary session.
White,W010,Kunal Kamra doing crowd work at a housing-society AGM.
White,W011,Vir Das delivering a stand-up set to an extremely confused cabinet.
White,W012,Zakir Khan explaining Indian bureaucracy using only heartbreak metaphors.
White,W013,Samay Raina livestreaming a debate between two pressure cookers.
White,W014,Biswa Kalyan Rath reviewing the Indian education system on a food-delivery app.
White,W015,Abhishek Upmanyu trying to explain Bengaluru traffic to a time traveller.
White,W016,Aakash Gupta becoming the accidental spokesperson for a political coalition.
White,W017,Anubhav Singh Bassi telling a five-hour story during a parliamentary recess.
White,W018,Karan Johar directing a biopic about a government form.
White,W019,Salman Khan negotiating peace between two rival family WhatsApp groups.
White,W020,Shah Rukh Khan giving a TED Talk about railway-platform etiquette.
White,W021,Aamir Khan making a 14-part documentary about the Indian queue.
White,W022,Virat Kohli giving a TED Talk on the emotional damage caused by Wi-Fi outages.
White,W023,MS Dhoni silently judging an entire prime-time panel.
White,W024,Neeraj Chopra throwing a javelin at a pile of bureaucratic paperwork.
White,W025,Narendra Modi opening a startup whose only product is a QR code.
White,W026,Rahul Gandhi explaining blockchain to a buffalo.
White,W027,Amit Shah trying to form a coalition with three incompatible Netflix passwords.
White,W028,Arvind Kejriwal launching a campaign from inside an air purifier.
White,W029,Mamata Banerjee challenging a traffic jam to a debate.
White,W030,Shashi Tharoor explaining a meme until everyone regrets asking.
White,W031,Nirmala Sitharaman presenting a budget for snacks at a wedding.
White,W032,S. Jaishankar solving a family WhatsApp diplomatic crisis.
White,W033,Amitabh Bachchan hosting an emergency meeting of confused uncles.
White,W034,Rajinikanth entering a newsroom and making every microphone work simultaneously.
White,W035,A Bollywood award show judged by cricket umpires.
White,W036,A prime-time debate where every participant is a different auntie.
White,W037,A Parliament session moderated by a stand-up comedian.
White,W038,A cricket commentary box staffed entirely by political strategists.
White,W039,A press conference where every journalist asks the same question backwards.
White,W040,A WhatsApp University PhD in Advanced Forwarding.
White,W041,A government tender for one extremely complicated chai.
White,W042,A fact-checking agency hired to fact-check the family group chat.
White,W043,A newsroom producer whose only instruction is “make it louder.”
White,W044,A political manifesto written by ChatGPT and three uncles.
White,W045,A comedian becoming the chief election strategist by accident.
White,W046,A journalist interviewing a historical emperor about UPI.
White,W047,A historical emperor discovering prime-time television.
White,W048,A freedom fighter stuck in airport security with a Bluetooth speaker.
White,W049,A Mughal court with a corporate HR department.
White,W050,A cricket stadium converted into a parliamentary committee room.
White,W051,A wedding baraat powered entirely by startup funding.
White,W052,The Indian internet attempting to agree on one thing.
White,W053,A national emergency caused by an expired Swiggy coupon.
White,W054,A family WhatsApp group declaring independence.
White,W055,A government office with a self-checkout counter.
White,W056,A TV debate sponsored by a pressure-cooker company.
White,W057,A podcast with 19 microphones and no topic.
White,W058,A YouTube thumbnail featuring seven red arrows pointing at nothing.
White,W059,A teleprompter that starts roasting the anchor.
White,W060,A political rally accidentally becoming a comedy special.
White,W061,An IPL auction for government departments.
White,W062,A celebrity PR team negotiating with an angry auto driver.
White,W063,A journalist trying to fact-check a horoscope.
White,W064,A comedian trying to explain GST using only samosas.
White,W065,A politician trying to escape a family group chat.
White,W066,A cricketer becoming the moderator of a political debate.
White,W067,A news anchor getting fact-checked by their own chyron.
White,W068,An election exit poll conducted by three aunties and a parrot.
White,W069,A press conference where the microphone has more questions than the journalist.
White,W070,A panel discussion that begins with cricket and ends with ancient history.
White,W071,A startup pitch to Ashoka the Great.
White,W072,An emperor asking for the Wi-Fi password.
White,W073,A national award for Most Dramatic WhatsApp Typing Indicator.
White,W074,A railway announcement delivered like a prime-time debate.
White,W075,A coaching-centre advertisement featuring a retired emperor.
White,W076,A family astrologer becoming the election commissioner.
White,W077,"A politician, journalist, comedian, actor, and cricketer sharing one Uber."
White,W078,The post-match presentation award for Most Unnecessary Drama goes to Aamir Khan for corporate wellness.
White,W079,"A historical documentary about newsroom astrology, narrated by Deepak Chaurasia."
White,W080,A government app that exists solely to collect a Swiggy coupon worth ₹17.
White,W081,The most expensive piece of jugaad ever built: a studio teleprompter.
White,W082,A historical emperor discovers television and immediately orders a celebrity PR statement.
White,W083,A PowerPoint presentation titled “government portal archaeology.”
White,W084,The studio producer's worst nightmare: political campaign season.
White,W085,The secret ingredient in auntie intelligence.
White,W086,The ancient inscription translates to: “Beware of prime-time television.”
White,W087,What happens when Deepika Padukone discovers prime-time television.
White,W088,A breaking-news alert about something that absolutely did not need breaking news: a political manifesto printed in Comic Sans.
White,W089,A fact-check that somehow requires a neighbourhood uncle with breaking news.
White,W090,The new national award category: Best a Swiggy coupon worth ₹17.
White,W091,An HR policy specifically banning LinkedIn enlightenment.
White,W092,An HR policy specifically banning a WhatsApp University PhD.
White,W093,A reality show called “a five-hour wedding baraat.”
White,W094,The IIT project nobody asked for: a family astrologer.
White,W095,A cricket commentator describes a startup founder saying 'we are a family' as “an interesting development.”
White,W096,A podcast episode nobody survives: the family group chat.
White,W097,"A politician says, “The people have spoken,” immediately followed by a press conference nobody requested."
White,W098,What happens when Amitabh Bachchan discovers LinkedIn enlightenment.
White,W099,A time traveller arrives in 2026 carrying a 2% battery warning.
White,W100,A political rally accidentally turns into wedding season.
White,W101,A celebrity's rider contains exactly one demand: a viral reel.
White,W102,The internet's collective attention span is defeated by UPI.
White,W103,A historical emperor discovers television and immediately orders monsoon flooding.
White,W104,The most Indian thing imaginable is a five-hour wedding baraat.
White,W105,A family group chat meltdown about political meme warfare.
White,W106,"The ₹10,000 solution to a ₹10 problem: Bengaluru rent."
White,W107,The secret ingredient in cricket fever.
White,W108,The only thing louder than a prime-time debate: a viral reel.
White,W109,A cricket commentary describing cricket geopolitics.
White,W110,The newsroom's new performance metric: a suspicious UPI notification.
White,W111,The final boss of Indian bureaucracy is wedding season.
White,W112,S. Jaishankar's master plan: a cricket DRS review.
White,W113,A five-year plan for achieving a gym membership nobody uses.
White,W114,A startup whose entire business model is cricket geopolitics.
White,W115,A government app that exists solely to collect a rejected Aadhaar OTP.
White,W116,The newsroom's new performance metric: political campaign season.
White,W117,A comedy special titled “a motivational LinkedIn post: Live From Bengaluru.”
White,W118,A breaking-news alert about something that absolutely did not need breaking news: cricket geopolitics.
White,W119,A press conference interrupted by a podcast microphone.
White,W120,The reason the family stopped asking questions: arranged marriage.
White,W121,The internet's collective attention span is defeated by election arithmetic.
White,W122,A time traveller arrives in 2026 carrying a Zomato delivery bag.
White,W123,A new Olympic sport: a railway platform ticket.
White,W124,The next viral hashtag: #INDIA_AT_FULL_VOLUME.
White,W125,A political alliance held together entirely by Indian jugaad.
White,W126,A journalist asks one simple question and receives: a motivational LinkedIn post.
White,W127,The one thing that finally united the entire panel: a Bollywood award trophy.
White,W128,"A news anchor says, “We have exclusive access to a railway platform ticket.”"
White,W129,A PowerPoint presentation titled “a cricket DRS review.”
White,W130,The real reason Chennai has traffic.
White,W131,An HR policy specifically banning a broken Jio router.
White,W132,The press badge nobody can explain: WhatsApp jurisprudence.
White,W133,The unholy alliance between a startup pitch deck and a celebrity PR statement.
White,W134,A celebrity launches a political party called TRP mathematics.
White,W135,The IIT project nobody asked for: a motivational LinkedIn post.
White,W136,A reality show called “a YouTube thumbnail with a red arrow.”
White,W137,A train announcement nobody was prepared for: a completely unnecessary committee.
White,W138,An extremely Indian solution to a completely unnecessary committee.
White,W139,A family wedding is interrupted by airport security.
White,W140,The one thing that finally united the entire panel: a studio teleprompter.
White,W141,The thing hidden inside every Indian suitcase: Bengaluru rent.
White,W142,The TV chyron reads: “BREAKING: Indian jugaad.”
White,W143,The only thing missing from Indian television is auntie intelligence.
White,W144,A reality show called “government portal archaeology.”
White,W145,A coaching-centre slogan for the family group chat.
White,W146,The comedian's lawyer-approved punchline: viral clip economics.
White,W147,The reason everyone is late to Kolkata.
White,W148,"The only acceptable answer to “Beta, what are you doing with your life?”: influencer accountability."
White,W149,A PowerPoint presentation titled “a CAT preparation book.”
White,W150,A journalist's autobiography is titled “a giant LED screen: Behind the Headlines.”
White,W151,A PowerPoint presentation titled “UPI.”
White,W152,A cricket commentator describes cricket geopolitics as “an interesting development.”
White,W153,The unholy alliance between competitive exams and Bollywood nepotism.
White,W154,A government scheme nobody understands: a Zomato delivery bag.
White,W155,The forbidden combination of auntie intelligence and a broken Jio router.
White,W156,The politician's completely fictional campaign promise: Mumbai rent.
White,W157,"The ₹10,000 solution to a ₹10 problem: a five-hour wedding baraat."
White,W158,A stand-up comedian attempts to explain government bureaucracy to Parliament.
White,W159,The studio producer's worst nightmare: Indian traffic.
White,W160,The unholy alliance between cricket fever and WhatsApp diplomacy.
White,W161,The Indian household's most powerful weapon: the family group chat.
White,W162,A prime-time debate judge awards one point for a press conference nobody requested.
White,W163,The one thing even an algorithm cannot classify: WhatsApp diplomacy.
White,W164,A journalist's autobiography is titled “newsroom chaos: Behind the Headlines.”
White,W165,"A news anchor says, “We have exclusive access to the Indian education system.”"
White,W166,The comedian's new crowd-work technique: Bollywood nepotism.
White,W167,The thing hidden inside every Indian suitcase: Indian jugaad.
White,W168,The only thing capable of defeating a giant LED screen.
White,W169,An influencer's apology video about a gym membership nobody uses.
White,W170,An uncle's solution to every problem: a press conference nobody requested.
White,W171,An uncle's solution to every problem: UPI.
White,W172,The most expensive piece of jugaad ever built: wedding season.
White,W173,The secret ingredient in a government form requiring seventeen signatures.
White,W174,The newsroom's new performance metric: a Mumbai local train.
White,W175,A documentary filmmaker discovers newsroom astrology in the archives.
White,W176,A comedy special titled “a Delhi air-quality monitor: Live From a press conference.”
White,W177,The wedding hashtag nobody should have approved: #INDIA_AT_FULL_VOLUME.
White,W178,The next viral hashtag: #SOURCE_TRUST_ME.
White,W179,A stand-up comedian attempts to explain a Bengaluru traffic jam to Parliament.
White,W180,The most Indian thing imaginable is a Delhi air-quality monitor.
White,W181,The Indian household's most powerful weapon: a 2% battery warning.
White,W182,A journalist's autobiography is titled “WhatsApp jurisprudence: Behind the Headlines.”
White,W183,A PowerPoint presentation titled “WhatsApp jurisprudence.”
White,W184,A political rally accidentally turns into Indian traffic.
White,W185,A government app that exists solely to collect teleprompter diplomacy.
White,W186,The most Indian thing imaginable is government bureaucracy.
White,W187,A time traveller arrives in 2026 carrying LinkedIn enlightenment.
White,W188,A national emergency is declared because of an auntie with seventeen theories.
White,W189,A breaking-news alert about something that absolutely did not need breaking news: arranged marriage.
White,W190,A prime-time debate topic chosen by a random-number generator: a railway platform ticket.
White,W191,"A producer yells, “Five seconds to air!” and someone brings prime-time outrage."
White,W192,The reason everyone is late to an airport lounge.
White,W193,The new national emergency: family pressure.
White,W194,A cricket commentary describing prime-time television.
White,W195,A TED Talk nobody should give: a news debate timer.
White,W196,"A comedian says, “You won't believe what happened with newsroom chaos.”"
White,W197,A celebrity-politician-journalist summit concludes with a fact-checking spreadsheet.
White,W198,The forbidden combination of a Delhi air-quality monitor and Bollywood nepotism.
White,W199,A luxury version of influencer accountability.
White,W200,The parliamentarian's hidden talent: a television chyron with six exclamation marks.
White,W201,The internet's collective attention span is defeated by government bureaucracy.
White,W202,A TED Talk nobody should give: a YouTube thumbnail with a red arrow.
White,W203,"A news anchor says, “We have exclusive access to political campaign season.”"
White,W204,The one thing even an algorithm cannot classify: fact-checking.
White,W205,A stand-up comedian attempts to explain political campaign season to Parliament.
White,W206,The election exit poll nobody can explain: a 2% battery warning.
White,W207,A cricket commentary describing a giant wedding buffet.
White,W208,The most cursed panel discussion imaginable: celebrity PR.
White,W209,The only thing louder than a prime-time debate: exam season.
White,W210,"teleprompter diplomacy, but somehow sponsored by a fintech startup."
White,W211,The plot twist nobody expected: a podcast microphone.
White,W212,The coalition's common minimum programme: Mumbai rent.
White,W213,A political alliance held together entirely by a motivational LinkedIn post.
White,W214,The unholy alliance between exam season and Delhi pollution.
White,W215,A newsroom intern accidentally publishes a Delhi air-quality monitor.
White,W216,"A producer yells, “Five seconds to air!” and someone brings political meme warfare."
White,W217,The only thing missing from Indian television is a Bollywood award trophy.
White,W218,A comedian's autobiography is titled “a cricket bat: Please Don't Cancel Me.”
White,W219,The internet's collective attention span is defeated by government portal archaeology.
White,W220,The TV chyron reads: “BREAKING: newsroom astrology.”
White,W221,A journalist's autobiography is titled “airport security: Behind the Headlines.”
White,W222,A breaking-news alert about something that absolutely did not need breaking news: a five-hour wedding baraat.
White,W223,An extremely Indian solution to a news debate timer.
White,W224,A family wedding is interrupted by a Delhi Metro announcement.
White,W225,"A historical documentary about a Parliament canteen bill, narrated by Devendra Fadnavis."
White,W226,The most cursed panel discussion imaginable: newsroom chaos.
White,W227,The only thing missing from Indian television is the attention economy.
White,W228,The unholy alliance between WhatsApp jurisprudence and UPI.
White,W229,"A journalist, a comedian, and Aakash Gupta are trapped in a lift with WhatsApp diplomacy."
White,W230,A government scheme nobody understands: a CAT preparation book.
White,W231,A government scheme nobody understands: a Delhi Metro announcement.
White,W232,A historical emperor discovers television and immediately orders a broken Jio router.
White,W233,"A historical documentary about LinkedIn enlightenment, narrated by K. Chandrashekar Rao."
White,W234,"A comedian says, “You won't believe what happened with a motivational LinkedIn post.”"
White,W235,The most Indian thing imaginable is election arithmetic.
White,W236,An influencer's apology video about celebrity PR.
White,W237,A PowerPoint presentation titled “a celebrity PR statement.”
White,W238,The reason the family stopped asking questions: startup culture.
White,W239,The parliamentarian's hidden talent: government portal archaeology.
White,W240,A celebrity launches a political party called a completely unnecessary committee.
White,W241,The internet's collective attention span is defeated by competitive exams.
White,W242,The one subject banned from every family WhatsApp group: corporate wellness.
White,W243,The forbidden combination of a startup pitch deck and panel shouting.
White,W244,"A historical documentary about a Delhi Metro announcement, narrated by Priyanka Gandhi."
White,W245,The one thing even Shams Tahir Khan cannot explain: celebrity damage control.
White,W246,A podcast episode nobody survives: a Zomato delivery bag.
White,W247,The forbidden combination of fact-checking and a fact-checking spreadsheet.
White,W248,A reality show called “cricket fever.”
White,W249,A completely unnecessary debate about a panel discussion with fourteen microphones.
White,W250,A luxury version of political campaign season.
White,W251,A Bollywood remake of newsroom astrology.
White,W252,The secret weapon of Indian television: cricket fever.
White,W253,A prime-time debate topic chosen by a random-number generator: a Swiggy coupon worth ₹17.
White,W254,A comedian's autobiography is titled “Mumbai rent: Please Don't Cancel Me.”
White,W255,The newsroom's new performance metric: engineering placement season.
White,W256,A WhatsApp University dissertation on an auntie with seventeen theories.
White,W257,A completely unnecessary debate about a giant LED screen.
White,W258,A celebrity-politician-journalist summit concludes with newsroom chaos.
White,W259,A press conference interrupted by celebrity damage control.
White,W260,The most ambitious jugaad ever attempted: a Chennai auto driver.
White,W261,A historical emperor discovers television and immediately orders startup culture.
White,W262,The politician's completely fictional campaign promise: a gym membership nobody uses.
White,W263,A breaking-news alert about something that absolutely did not need breaking news: a fact-checking spreadsheet.
White,W264,"A comedian, a politician, and a journalist walk into a housing-society AGM. The result: a WhatsApp University PhD."
White,W265,A journalist asks one simple question and receives: podcast diplomacy.
White,W266,The unholy alliance between a giant wedding buffet and monsoon flooding.
White,W267,The newsroom's new performance metric: the Indian education system.
White,W268,The secret weapon of Indian television: a 47-slide PowerPoint.
White,W269,A fact-check that somehow requires a panel discussion with fourteen microphones.
White,W270,A newsroom intern accidentally publishes a giant wedding buffet.
White,W271,A government scheme nobody understands: influencer accountability.
White,W272,What happens when S. S. Rajamouli discovers a Delhi Metro announcement.
White,W273,A prime-time debate topic chosen by a random-number generator: LinkedIn enlightenment.
White,W274,"A LinkedIn post that begins, “Humbled to announce…” and ends with a press conference nobody requested."
White,W275,The only thing capable of defeating a studio teleprompter.
White,W276,A fact-check that somehow requires a television chyron with six exclamation marks.
White,W277,A suspiciously confident uncle explaining arranged marriage.
White,W278,A celebrity's autobiography is titled “TRP mathematics: My Journey.”
White,W279,The thing hidden inside every Indian suitcase: political campaign season.
White,W280,A coaching-centre slogan for a half-charged power bank.
White,W281,An influencer's apology video about auntie intelligence.
White,W282,A government app that exists solely to collect social-media outrage.
White,W283,A viral clip starts with influencer accountability and ends with nobody knowing what happened.
White,W284,An extremely Indian solution to the family group chat.
White,W285,The real reason a podcast studio has traffic.
White,W286,"A LinkedIn post that begins, “Humbled to announce…” and ends with Indian traffic."
White,W287,A prime-time debate topic chosen by a random-number generator: teleprompter diplomacy.
White,W288,The only thing missing from Indian television is celebrity PR.
White,W289,A prime-time debate judge awards one point for a Mumbai local train.
White,W290,The politician's completely fictional campaign promise: podcast diplomacy.
White,W291,"A journalist says, “Sources tell us,” and the source is a plastic chair at a wedding."
White,W292,A breaking-news alert about something that absolutely did not need breaking news: a plastic chair at a wedding.
White,W293,A comedian's autobiography is titled “celebrity damage control: Please Don't Cancel Me.”
White,W294,A journalist asks one simple question and receives: a railway platform ticket.
White,W295,The headline nobody expected to read: a five-hour wedding baraat.
White,W296,The coalition's common minimum programme: a Chennai auto driver.
White,W297,"The ₹10,000 solution to a ₹10 problem: monsoon flooding."
White,W298,The only thing capable of defeating a plastic chair at a wedding.
White,W299,A political strategist's 3 a.m. idea: a hostel mess menu.
White,W300,A viral clip starts with a Bengaluru traffic jam and ends with nobody knowing what happened.
White,W301,The one subject banned from every family WhatsApp group: Indian traffic.
White,W302,The comedian's lawyer-approved punchline: a gym membership nobody uses.
White,W303,A Bollywood remake of government portal archaeology.
